Apartment Name,Address,City,Zip Code,Price,Room,Amenities,Phone,URL
The Waterfront Apartments and Townhomes,611 E Waterfront Dr,Munhall,PA 15120,"$1,600 - $4,882",1-3 Beds,,(570) 634-8208,https://www.apartments.com/the-waterfront-apartments-and-townhomes-munhall-pa/8gvtzh1/
1569 Duncan Dr,1569 Duncan Dr,Pittsburgh,PA 15237,"$2,250","
                                    3 Beds
                                ",,(844) 731-1083,https://www.apartments.com/1569-duncan-dr-pittsburgh-pa/syqejb5/
Chalfont Apartments,4742 Centre Ave,Pittsburgh,PA 15213,"$2,418","
                                    Studio - 2 Beds
                                ",,(412) 960-1070,https://www.apartments.com/chalfont-apartments-pittsburgh-pa/3smnm9f/
1709 FIFTH,1709 5th Ave,Pittsburgh,PA 15219,"$1,470 - $2,900","
                                    Studio - 2 Beds
                                ",,(412) 693-7396,https://www.apartments.com/1709-fifth-pittsburgh-pa/zejsckw/
St. Clair Woods Apartments,1000 Painters Dr,Pittsburgh,PA 15228,"$1,525","
                                    2 Beds
                                ",,(412) 693-6308,https://www.apartments.com/st-clair-woods-apartments-pittsburgh-pa/cp673fe/
The Ell on Ellsworth (A Hudson Property),5420 Ellsworth Ave,Pittsburgh,PA 15232,"$2,350","
                                    3 Beds
                                ",,(412) 850-4664,https://www.apartments.com/the-ell-on-ellsworth-a-hudson-property-pittsburgh-pa/mx9m19j/
531 Collins St,531 Collins St,Pittsburgh,PA 15206,"$1,750","
                                    3 Beds
                                ",,(412) 744-8568,https://www.apartments.com/531-collins-st-pittsburgh-pa/zr0fprw/
5836 Alderson St,5836 Alderson St,Pittsburgh,PA 15217,"$1,650","
                                    2 Beds
                                ",,(412) 776-0627,https://www.apartments.com/5836-alderson-st-pittsburgh-pa/gw6281y/
The Clark Building,717 Liberty Ave,Pittsburgh,PA 15222,"$1,420 - $1,935","
                                    1-2 Beds
                                ",,(570) 634-8046,https://www.apartments.com/the-clark-building-pittsburgh-pa/r2yslm2/
Allegheny Branch House Lofts,810 W North Ave,Pittsburgh,PA 15233,"$1,329 - $2,699","
                                    Studio - 2 Beds
                                ",,(412) 284-6744,https://www.apartments.com/allegheny-branch-house-lofts-pittsburgh-pa/7n3dcby/
Hudson Oakland,300-306 Craft Ave,Pittsburgh,PA 15213,"$2,100","
                                    3 Beds
                                ",,(412) 816-9525,https://www.apartments.com/hudson-oakland-pittsburgh-pa/2q5c68b/
Brittany Apartments,1717 Penn Ave,Pittsburgh,PA 15221,"$895 - $2,693","
                                    Studio - 2 Beds
                                ",,(412) 385-6593,https://www.apartments.com/brittany-apartments-pittsburgh-pa/sng0556/
Baywood,119-125 Baywood Ave,Pittsburgh,PA 15228,"$1,000","
                                    1 Bed
                                ",,(412) 754-3561,https://www.apartments.com/baywood-pittsburgh-pa/hpvwnp1/
Park House Flats,372-374 Joncaire St,Pittsburgh,PA 15213,"$1,500 - $3,400","
                                    2 Beds
                                ",,(412) 420-6296,https://www.apartments.com/park-house-flats-pittsburgh-pa/te72f68/
Village Square,600 Kelly Ave,Pittsburgh,PA 15221,"$1,250","
                                    2 Beds
                                ",,(412) 871-6289,https://www.apartments.com/village-square-pittsburgh-pa/0hnjne3/
Allegheny Apartments,429 Forbes Ave,Pittsburgh,PA 15219,"$1,190 - $2,150","
                                    1-2 Beds
                                ",,(412) 744-8596,https://www.apartments.com/allegheny-apartments-pittsburgh-pa/zkjt6xw/
Pleasantview Place,1000 Wingate Dr,Pittsburgh,PA 15205,"$900 - $1,900","
                                    Studio - 3 Beds
                                ",,(412) 534-6279,https://www.apartments.com/pleasantview-place-pittsburgh-pa/7v87dzx/
Cornerstone Village Apartments,185 Larimer Ave,Pittsburgh,PA 15206,"$1,171 - $2,145","
                                    1-3 Beds
                                ",,(412) 924-5242,https://www.apartments.com/cornerstone-village-apartments-pittsburgh-pa/5wkmn7n/
Tiffany Apartments,925 California Ave,Pittsburgh,PA 15202,"$950 - $1,030","
                                    1-2 Beds
                                ",,(412) 207-3406,https://www.apartments.com/tiffany-apartments-pittsburgh-pa/3qxfevg/
Homestead Masonic Hall Lofts,338 E 9th Ave,Homestead,PA 15120,"$1,095 - $1,799","
                                    Studio - 1 Bed
                                ",,(412) 231-9740,https://www.apartments.com/homestead-masonic-hall-lofts-homestead-pa/fb2v81s/
Shadyside Commons,401 Amberson Ave,Pittsburgh,PA 15232,"$2,250 - $3,025","
                                    1-2 Beds
                                ",,(412) 754-5734,https://www.apartments.com/shadyside-commons-pittsburgh-pa/f0n2tvs/
River Oaks,1 Oakhurst Cir,Pittsburgh,PA 15215,"$1,609 - $3,544","
                                    1-4 Beds
                                ",,(412) 517-7743,https://www.apartments.com/river-oaks-pittsburgh-pa/wyqj97h/
Williamsburg South,401-435 Abbeyville Rd,Pittsburgh,PA 15228,"$1,259 - $1,617","
                                    1-2 Beds
                                ",,(412) 851-6062,https://www.apartments.com/williamsburg-south-pittsburgh-pa/nw9njzm/
Landmark on Carson Apartments,2008-2012 E Carson St,Pittsburgh,PA 15203,"$1,740 - $1,830","
                                    3 Beds
                                ",,(412) 515-3145,https://www.apartments.com/landmark-on-carson-apartments-pittsburgh-pa/xkl180n/
Lofts of Mount Washington,200 Cowan St,Pittsburgh,PA 15211,"$1,900 - $2,200","
                                    Studio - 3 Beds
                                ",,(412) 201-0719,https://www.apartments.com/lofts-of-mount-washington-pittsburgh-pa/vgbfp6g/
Hot Metal Flats,2915 Sidney St,Pittsburgh,PA 15203,"$1,405 - $2,285","
                                    Studio - 2 Beds
                                ",,(412) 453-7513,https://www.apartments.com/hot-metal-flats-pittsburgh-pa/bgv9178/
3030 South Water Apartments,3030 S Water St,Pittsburgh,PA 15203,"$1,550 - $1,720","
                                    1 Bed
                                ",,(412) 201-0264,https://www.apartments.com/3030-south-water-apartments-pittsburgh-pa/h7w8hz0/
3514 Butler St,3514 Butler St,Pittsburgh,PA 15201,"$2,000 - $2,600","
                                    2 Beds
                                ",,(908) 895-6791,https://www.apartments.com/3514-butler-st-pittsburgh-pa/j7b1284/
Bakery Living,6350 Penn Ave,Pittsburgh,PA 15206,"$1,825 - $3,525","
                                    Studio - 2 Beds
                                ",,(724) 558-8067,https://www.apartments.com/bakery-living-pittsburgh-pa/3qd9wgf/
The Reserve at Summerset at Frick Park,1435 Parkview Blvd,Pittsburgh,PA 15217,"$1,575 - $2,865","
                                    1-3 Beds
                                ",,(412) 816-9172,https://www.apartments.com/the-reserve-at-summerset-at-frick-park-pittsburgh-pa/wm9hrck/
"5635-5645 Hobart, Pittsburgh, PA 15217",5635-5645 Hobart St,Pittsburgh,PA 15217,"$1,695 - $1,895","
                                    2 Beds
                                ",,(412) 284-5846,https://www.apartments.com/5635-5645-hobart-pittsburgh-pa-15217-pittsburgh-pa/qjrl9gz/
The Cascades Apartments and Townhomes,100 E West Dr,Pittsburgh,PA 15237,"$1,200 - $3,236","
                                    1-2 Beds
                                ",,(878) 231-3159,https://www.apartments.com/the-cascades-apartments-and-townhomes-pittsburgh-pa/11c4bh4/
The Gateway at Summerset,1876 Parkview Blvd,Pittsburgh,PA 15217,"$1,730 - $2,350","
                                    1-2 Beds
                                ",,(412) 566-8709,https://www.apartments.com/the-gateway-at-summerset-pittsburgh-pa/dhw10rh/
Cosmopolitan Apartments,3001 McKnight East Dr,Pittsburgh,PA 15237,"$1,559 - $2,184","
                                    1-2 Beds
                                ",,(878) 231-3311,https://www.apartments.com/cosmopolitan-apartments-pittsburgh-pa/zrfq8ex/
The Flats at Southside Works,2603-2655 E Carson St,Pittsburgh,PA 15203,"$1,549 - $2,430","
                                    1-2 Beds
                                ",,(412) 274-1606,https://www.apartments.com/the-flats-at-southside-works-pittsburgh-pa/099wh00/
The Square on Butler,3459 Butler St,Pittsburgh,PA 15201,"$1,900 - $2,550","
                                    1-2 Beds
                                ",,(412) 772-4227,https://www.apartments.com/the-square-on-butler-pittsburgh-pa/vwnsh0e/
The Ivy Residences,701-705 Smithfield St,Pittsburgh,PA 15222,"$1,999 - $11,000","
                                    1-4 Beds
                                ",,(412) 231-9619,https://www.apartments.com/the-ivy-residences-pittsburgh-pa/zeq32ty/
308 Miltenberger St,308 Miltenberger St,Pittsburgh,PA 15219,"$1,275 - $1,850","
                                    Studio - 1 Bed
                                ",,(412) 566-8943,https://www.apartments.com/308-miltenberger-st-pittsburgh-pa/4v31kxk/
Union on 5th Avenue,1030 5th Ave,Pittsburgh,PA 15219,"$1,099 - $1,750","
                                    2-3 Beds
                                ",,(412) 231-9292,https://www.apartments.com/union-on-5th-avenue-pittsburgh-pa/k8y2zrb/
The Venue Apartments!,625 Stanwix St,Pittsburgh,PA 15222,"$1,425 - $2,200","
                                    1-2 Beds
                                ",,(412) 231-9649,https://www.apartments.com/the-venue-apartments-pittsburgh-pa/6qp02ds/
Catalyst Lofts,141 41st St,Pittsburgh,PA 15201,"$1,537 - $2,600","
                                    1-3 Beds
                                ",,(412) 816-9791,https://www.apartments.com/catalyst-lofts-pittsburgh-pa/0v7q7s3/
Highland Park Club Apartments,1001 N Negley Ave,Pittsburgh,PA 15206,"$1,200 - $1,350","
                                    1 Bed
                                ",,(412) 517-7767,https://www.apartments.com/highland-park-club-apartments-pittsburgh-pa/qpr93dw/
Residences at South High,930 E Carson St,Pittsburgh,PA 15203,"$1,546 - $2,700","
                                    Studio - 2 Beds
                                ",,(412) 566-8609,https://www.apartments.com/residences-at-south-high-pittsburgh-pa/y1d9n1t/
Eighth and Penn,711-713 Penn Ave,Pittsburgh,PA 15222,"$1,200 - $5,200","
                                    Studio - 3 Beds
                                ",,(412) 851-6425,https://www.apartments.com/eighth-and-penn-pittsburgh-pa/bmw0rqb/
The Royal Plaza Rockwel Realty Leasing,5506 5th Ave,Pittsburgh,PA 15232,"$1,650 - $2,100","
                                    2-3 Beds
                                ",,(412) 754-4579,https://www.apartments.com/the-royal-plaza-rockwel-realty-leasing-pittsburgh-pa/3s5lycg/
Laurel Village Apartments,1000 Penn Center Blvd,Pittsburgh,PA 15235,"$1,090","
                                    Studio - 2 Beds
                                ",,(412) 385-6338,https://www.apartments.com/laurel-village-apartments-pittsburgh-pa/f2db0nv/
Arlington Apartments,515 S Aiken Ave,Pittsburgh,PA 15232,"$965 - $1,815","
                                    Studio - 2 Beds
                                ",,(412) 566-8845,https://www.apartments.com/arlington-apartments-pittsburgh-pa/pr2nf1t/
RedStone Place,265 46th St,Pittsburgh,PA 15201,"$1,695 - $2,095","
                                    1-2 Beds
                                ",,(412) 871-6040,https://www.apartments.com/redstone-place-pittsburgh-pa/rqd9zm0/
The Evalee Apartments,7 Dorchester Dr,Pittsburgh,PA 15241,"$1,145 - $1,525","
                                    1-2 Beds
                                ",,(412) 226-4131,https://www.apartments.com/the-evalee-apartments-pittsburgh-pa/4vvnhrh/
Royal Manor Apartments,8900 Royal Manor Dr,Pittsburgh,PA 15101,"$1,065 - $1,525","
                                    1-3 Beds
                                ",,(878) 217-6030,https://www.apartments.com/royal-manor-apartments-pittsburgh-pa/l8pvqdd/
Churchview Gardens,3783 Churchview Avenue Ext,Pittsburgh,PA 15236,"$950 - $1,100","
                                    1-2 Beds
                                ",,(412) 385-6938,https://www.apartments.com/churchview-gardens-pittsburgh-pa/cwd27pd/
Union Annex,1014 5th Ave,Pittsburgh,PA 15219,"$999 - $2,370","
                                    Studio - 3 Beds
                                ",,(412) 467-0153,https://www.apartments.com/union-annex-pittsburgh-pa/v5m23tg/
Morrowfield,2715 Murray Ave,Pittsburgh,PA 15217,"$1,080 - $1,390","
                                    Studio - 2 Beds
                                ",,(412) 467-0249,https://www.apartments.com/morrowfield-pittsburgh-pa/34lt28g/
Chateaugay Apartments,500 Hoodridge Dr,Pittsburgh,PA 15234,"$1,125 - $1,375","
                                    1-2 Beds
                                ",,(412) 896-7076,https://www.apartments.com/chateaugay-apartments-pittsburgh-pa/l0m1lwe/
Perrytown Place,101 Highland Pines Dr,Pittsburgh,PA 15237,"$899 - $1,184","
                                    Studio - 1 Bed
                                ",,(412) 837-0717,https://www.apartments.com/perrytown-place-pittsburgh-pa/bqx2848/
New South Side Apartments at 905 Bingham,905 Bingham St,Pittsburgh,PA 15203,"$1,295","
                                    1 Bed
                                ",,(412) 235-9779,https://www.apartments.com/new-south-side-apartments-at-905-bingham-pittsburgh-pa/7sz8hpx/
Waldorf Park Apartments,103 McKnight Cir,Pittsburgh,PA 15237,"$964 - $1,494","
                                    1-2 Beds
                                ",,(412) 455-3802,https://www.apartments.com/waldorf-park-apartments-pittsburgh-pa/kyfcf58/
One On Centre,4500 Centre Ave,Pittsburgh,PA 15213,"$1,290 - $2,335","
                                    Studio - 3 Beds
                                ",,(412) 455-8651,https://www.apartments.com/one-on-centre-pittsburgh-pa/p2phsns/
The Rockwel - Rockwel Realty Leasing,430 Shady Ave,Pittsburgh,PA 15206,"$1,995","
                                    2 Beds
                                ",,(412) 850-4075,https://www.apartments.com/the-rockwel-rockwel-realty-leasing-pittsburgh-pa/8bj3yk3/
Alcoma on the Green,225 Alcoma Blvd,Pittsburgh,PA 15235,"$880 - $1,450","
                                    1-3 Beds
                                ",,(724) 604-4142,https://www.apartments.com/alcoma-on-the-green-pittsburgh-pa/rz7e4n1/
Hillside Apartments,1575-1597 Bevan Rd,Pittsburgh,PA 15227,"$1,015 - $1,075","
                                    2 Beds
                                ",,(412) 838-4674,https://www.apartments.com/hillside-apartments-pittsburgh-pa/wqzv6ck/
Devon Towers,4920 CENTRE Ave,Pittsburgh,PA 15213,"$1,049 - $1,680","
                                    Studio - 3 Beds
                                ",,(412) 517-7426,https://www.apartments.com/devon-towers-pittsburgh-pa/r9y0cp1/
Amberson Gardens,1-4 Bayard Rd,Pittsburgh,PA 15213,"$1,045 - $1,800","
                                    Studio - 2 Beds
                                ",,(412) 453-7833,https://www.apartments.com/amberson-gardens-pittsburgh-pa/w2vgfbj/
The Wendover Community,5562 Hobart St,Pittsburgh,PA 15217,"$695 - $1,680","
                                    Studio - 2 Beds
                                ",,(412) 467-0395,https://www.apartments.com/the-wendover-community-pittsburgh-pa/l55ygwf/
Ohara Place Apartments LP,3625-3645 Liberty Ave,Pittsburgh,PA 15201,"$1,050 - $1,495","
                                    1-2 Beds
                                ",,(412) 501-2146,https://www.apartments.com/ohara-place-apartments-lp-pittsburgh-pa/rkxzwj2/
1869 West,1869 Chessland St,Pittsburgh,PA 15205,"$829 - $1,219","
                                    1-3 Beds
                                ",,(844) 960-3750,https://www.apartments.com/1869-west-pittsburgh-pa/7vzdc6y/
Kenyon Court Apartments,300 Kenyon Ct,Pittsburgh,PA 15229,"$800 - $1,275","
                                    2 Beds
                                ",,(412) 324-7541,https://www.apartments.com/kenyon-court-apartments-pittsburgh-pa/2gdyrxb/
Hillcrest Apartments,13 Hillcrest Dr,Pittsburgh,PA 15202,$825,"
                                    1 Bed
                                ",,(412) 324-7536,https://www.apartments.com/hillcrest-apartments-pittsburgh-pa/g9dvfkw/
Douglas Plaza,2405-2407 Laketon Rd,Pittsburgh,PA 15221,$870 - $880,"
                                    1 Bed
                                ",,(878) 302-9541,https://www.apartments.com/douglas-plaza-pittsburgh-pa/9sdcyc6/
Abbeyville Apartments,136 Abbeyville Rd,Pittsburgh,PA 15228,"$650 - $1,350","
                                    Studio - 4 Beds
                                ",,(412) 914-3824,https://www.apartments.com/abbeyville-apartments-pittsburgh-pa/qsppwhx/
Frick Park Village,208 Rebecca Ave,Pittsburgh,PA 15221,"$900 - $1,030","
                                    1-2 Beds
                                ",,(412) 612-2468,https://www.apartments.com/frick-park-village-pittsburgh-pa/ldrlfyf/
Cloverleaf Towers,60 Clover Dr,Pittsburgh,PA 15236,"$700 - $1,100","
                                    Studio - 3 Beds
                                ",,(412) 960-2572,https://www.apartments.com/cloverleaf-towers-pittsburgh-pa/t8ygpv9/
Cliffside Manor Apartments,200 Cliffside Manor Dr,Pittsburgh,PA 15202,"$900 - $1,100","
                                    1-2 Beds
                                ",,(724) 582-7818,https://www.apartments.com/cliffside-manor-apartments-pittsburgh-pa/wgqlw2l/
The Forest Apartments,801 Smokey Wood Dr,Pittsburgh,PA 15218,$815 - $920,"
                                    1-2 Beds
                                ",,(412) 850-4209,https://www.apartments.com/the-forest-apartments-pittsburgh-pa/vc35qxg/
11670 Frankstown Rd,11670 Frankstown Rd,Pittsburgh,PA 15235,$645 - $695,"
                                    Studio - 1 Bed
                                ",,(412) 744-8051,https://www.apartments.com/11670-frankstown-rd-pittsburgh-pa/nfn6bxm/
Jameson Townhomes,3367 Jameson Dr,Brentwood,PA 15227,"$1,325 - $1,425","
                                    3 Beds
                                ",,(412) 668-5220,https://www.apartments.com/jameson-townhomes-brentwood-pa/3s2x5pf/
905 Liberty Ave Unit 3B,905 Liberty Ave Unit 3B,Pittsburgh,PA 15222,"$1,500","
                                    1 Bed, 1 Bath, 1,080 sq ft
                                ",,(412) 467-0566,https://www.apartments.com/905-liberty-ave-pittsburgh-pa/ndetgbn/
448 Country View Ct,448 Country View Ct,Pittsburgh,PA 15205,"$1,300","
                                    2 Beds, 1 Bath, 992 sq ft
                                ",,,https://www.apartments.com/448-country-view-ct-pittsburgh-pa/8v4l0h2/
3306 Iowa St,3306 Iowa St Unit Floor 1 (  1),Pittsburgh,PA 15219,"$1,995","
                                    4 Beds, 1 Bath, 1,595 sq ft
                                ",,(878) 309-4732,https://www.apartments.com/3306-iowa-st-pittsburgh-pa/dhjh71j/
2328 Murray Ave,2328 Murray Ave,Pittsburgh,PA 15217,"$1,695","
                                    4 Beds, 1.5 Baths, 2,500 sq ft
                                ",,(878) 309-4710,https://www.apartments.com/2328-murray-ave-pittsburgh-pa/068w1m3/
919 S Aiken Ave,919 S Aiken Ave,Pittsburgh,PA 15232,"$3,000","
                                    1 Bed, 1 Bath, 1,400 sq ft
                                ",,(412) 924-5852,https://www.apartments.com/919-s-aiken-ave-pittsburgh-pa/pp2jqmr/
716 Walnut St,716 Walnut St,Pittsburgh,PA 15221,"$1,395","
                                    2 Beds, 1 Bath, 1,300 sq ft
                                ",,(412) 871-6871,https://www.apartments.com/716-walnut-st-pittsburgh-pa/dbfz3bk/
2018 Forbes Ave,2018 Forbes Ave,Pittsburgh,PA 15219,"$1,650 - $2,750","
                                    1-2 Beds, 1-2 Baths
                                ",,,https://www.apartments.com/2018-forbes-ave-pittsburgh-pa/c9y3kfd/
3890 Brighton Rd,3890 Brighton Rd Unit 2,Pittsburgh,PA 15212,"$1,300","
                                    2 Beds, 1 Bath, 1,000 sq ft
                                ",,,https://www.apartments.com/3890-brighton-rd-pittsburgh-pa/rt1lrx0/
337 Atwood St,337 Atwood St,Pittsburgh,PA 15213,"$5,600","
                                    6 Beds, 2 Baths, 2,500 sq ft
                                ",,(412) 547-9290,https://www.apartments.com/337-atwood-st-pittsburgh-pa/xvsgg4m/
4 Welsford St,4 Welsford St,Pittsburgh,PA 15213,"$4,900","
                                    6 Beds, 3 Baths, 3,000 sq ft
                                ",,(412) 816-8601,https://www.apartments.com/4-welsford-st-pittsburgh-pa/ebdfs1n/
348 Oakland Ave,348 Oakland Ave,Pittsburgh,PA 15213,"$2,400","
                                    3 Beds, 2 Baths, 1,500 sq ft
                                ",,(412) 547-9363,https://www.apartments.com/348-oakland-ave-pittsburgh-pa/b7lqb68/
908 Bryn Mawr Rd,908 Bryn Mawr Rd,Pittsburgh,PA 15219,"$1,295 - $1,495","
                                    2-3 Beds, 1 Bath
                                ",,(878) 309-4982,https://www.apartments.com/908-bryn-mawr-rd-pittsburgh-pa/4yhvlvk/
1481 Alabama Ave Unit 2,1481 Alabama Ave Unit 2,Pittsburgh,PA 15216,"$1,050","
                                    3 Beds, 1 Bath, 900 sq ft
                                ",,,https://www.apartments.com/1481-alabama-ave-pittsburgh-pa/gq7g6px/
366 Meyran Ave,366 Meyran Ave,Pittsburgh,PA 15213,"$4,500","
                                    6 Beds, 2 Baths, 1,750 sq ft
                                ",,(412) 668-1809,https://www.apartments.com/366-meyran-ave-pittsburgh-pa/hxl1yd3/
2108 S Braddock Ave,2108 S Braddock Ave,Swissvale,PA 15218,"$1,200","
                                    2 Beds, 1 Bath, 1,500 sq ft
                                ",,(412) 990-1827,https://www.apartments.com/2108-s-braddock-ave-swissvale-pa/vx0en2f/
